age,sex,f_name,last name,commune,insee code,city type,department,reg,catégorie,revenue,cible
72,Male,ALAIN,LEPINE,Paris 15e  Arrondissement,75115,Capitale d'état,75,11,13,NA,failure
17,Female,LOU-ANN,GUILLON,Andres,62031,Commune simple,62,32,10,NA,failure
30,Male,SÉBASTIEN,FERREIRA,Paris 19e  Arrondissement,75119,Capitale d'état,75,11,4,2210,failure
56,Male,PASCAL,LOUIS,Ganges,34111,Chef-lieu canton,34,76,3,6380,success
66,Female,PATRICIA,PARENT,Saint-Lubin-de-la-Haye,28347,Commune simple,28,24,13,NA,failure
50,Male,YANNICK,BOSCHETTI,Valenciennes,59606,Sous-préfecture,59,32,1,1100,success
50,Female,MIREILLE,HENRY,Bellegarde-sur-Valserine,01033,Chef-lieu canton,01,84,8,1570,success
51,Male,MICHEL,BELLEIL,Viry-Châtillon,91687,Chef-lieu canton,91,11,1,3140,success
54,Male,ERWAN,BEAUNE,Balaruc-les-Bains,34023,Commune simple,34,76,4,2680,failure
80,Female,MARCELLE,GUERIN,Bry-sur-Marne,94015,Chef-lieu canton,94,11,13,NA,failure
60,Female,BÉATRICE,GERNIGON,Myennes,58187,Commune simple,58,27,3,3490,success
59,Female,MICHÈLE,BECK,Fougueyrolles,24189,Commune simple,24,75,5,1320,success
52,Male,JEAN,BELLOC,Valenciennes,59606,Sous-préfecture,59,32,5,1890,success
22,Male,YOUSSEF,BERNARD,Marseille 9e  Arrondissement,13209,Préfecture de région,13,93,4,3760,failure
74,Male,BERNARD,RAT,Cirières,79091,Commune simple,79,75,13,NA,failure
62,Female,BRIGITTE,MICHEL,Challes-les-Eaux,73064,Commune simple,73,84,13,NA,failure
25,Male,ANDREI,GARRIGUE,Saint-Saturnin,16348,Commune simple,16,75,4,1910,failure
50,Male,ARNAUD,MANNONI,Villemomble,93077,Chef-lieu canton,93,11,4,2080,success
23,Male,THOMAS,BLOND,Lunan,46180,Commune simple,46,76,10,NA,failure
19,Female,LOUANN,TAVERNIER,Sète,34301,Chef-lieu canton,34,76,10,NA,failure
79,Female,NICOLE,KHEIREDDINE,Malaucène,84069,Chef-lieu canton,84,93,13,NA,failure
18,Male,LOUIS,BARBIER,Toulouse,31555,Préfecture de région,31,76,10,NA,failure
47,Female,NATALIA,DANINO,Barrême,04022,Chef-lieu canton,04,93,4,2630,success
56,Male,ROBERT,ROBERT,Saint-Pierre-du-Mont,40281,Commune simple,40,75,12,NA,success
37,Female,MÉLANIE,THIERY,Aufferville,77011,Commune simple,77,11,3,1940,success
58,Male,FRÉDÉRIC,EMERIAU,Saint-Amé,88409,Commune simple,88,44,3,2530,failure
52,Male,LAURENT,LASSERON,Rousset,13087,Commune simple,13,93,6,1590,failure
74,Male,MICHEL,DI MEO,Marseille 11e  Arrondissement,13211,Préfecture de région,13,93,13,NA,failure
75,Female,GUILAINE,GUINARD,Thieux,60634,Commune simple,60,32,13,NA,failure
34,Male,GABRIEL,BALES,Sotteville-lès-Rouen,76681,Chef-lieu canton,76,28,4,2940,success
33,Female,SANDRA,AMOURET,Furiani,2B120,Commune simple,2B,94,5,2050,success
64,Female,MARIE,DECOURTY,Murinais,38272,Commune simple,38,84,6,1770,failure
84,Male,JEAN,MONIN,Meilhaud,63222,Commune simple,63,84,13,NA,failure
37,Female,SONIA,VAUTIER,Eu,76255,Chef-lieu canton,76,28,6,1330,success
56,Male,JEAN-LUC,JOHNSON,Paris 15e  Arrondissement,75115,Capitale d'état,75,11,4,2570,success
44,Male,BRUNO,HENON,Garancières-en-Beauce,28169,Commune simple,28,24,4,1540,success
58,Female,EVELYNE,DESFORGES,Truchtersheim,67495,Chef-lieu canton,67,44,1,1350,success
37,Male,ROMAIN,HELMSTETTER,Paris 10e  Arrondissement,75110,Capitale d'état,75,11,2,1520,success
69,Male,MARC,ARSLAN,Fercé-sur-Sarthe,72131,Commune simple,72,52,13,NA,failure
50,Female,SANDRINE,ARMAND,Jury,57351,Commune simple,57,44,5,4350,success
72,Male,PAUL,SERVILLE,L' Haÿ-les-Roses,94038,Sous-préfecture,94,11,13,NA,failure
58,Male,NORBERT,TONACHELLA,Lille,59350,Préfecture de région,59,32,8,1280,success
72,Female,HENRIETTE,PERIOT,Corbas,69273,Commune simple,69,84,13,NA,failure
76,Female,DANIELLE,DEDIGON,Lyon 4e  Arrondissement,69384,Préfecture de région,69,84,13,NA,failure
31,Female,AUDREY,ZEGHAD,Marguerittes,30156,Chef-lieu canton,30,76,4,1800,success
17,Male,ROMAIN,DECROUILLE,Paris 14e  Arrondissement,75114,Capitale d'état,75,11,10,NA,failure
49,Male,JEAN-STÉPHANE,CEYSSON,Chessy,77111,Commune simple,77,11,7,1550,success
64,Female,CORINNE,DEGACHE,Soulaire-et-Bourg,49339,Commune simple,49,52,5,1210,success
36,Male,GEOFFROY,JACQUET,Morsbach,57484,Commune simple,57,44,4,1150,success
46,Female,STÉPHANIE,MATHIEU,Erdre-en-Anjou,49367,Commune simple,49,52,5,1900,success
49,Female,LAURENCE,LUTZ,Vannes,56260,Préfecture,56,53,11,NA,success
72,Female,NICOLE,LOUEMBA,Rubelles,77394,Commune simple,77,11,13,NA,failure
75,Male,DANIEL,RUELEN,Breuillet,17064,Commune simple,17,75,13,NA,failure
38,Male,ROMAIN,DALMAU,Bressols,82025,Commune simple,82,76,11,NA,success
36,Male,ALEXANDRE,DUBREIL,Lormaye,28213,Commune simple,28,24,11,NA,failure
62,Male,PATRICE,LAURENT,Villefranche-sur-Saône,69264,Sous-préfecture,69,84,13,NA,success
20,Male,PHILIPPE,ANDRE,Bœrsch,67052,Commune simple,67,44,10,NA,failure
23,Female,LAURA,PIZAY,Aulnay-sous-Bois,93005,Chef-lieu canton,93,11,11,NA,failure
46,Female,FRANÇOISE,JUDITH,Meudon,92048,Chef-lieu canton,92,11,12,NA,success
41,Male,GHISLAIN,METAYER,La Ciotat,13028,Chef-lieu canton,13,93,4,2220,success
67,Female,NICOLE,CAMBIEN,Amiens,80021,Préfecture de région,80,32,13,NA,failure
17,Male,SÉBASTIEN,LEGER,Cadaujac,33080,Commune simple,33,75,10,NA,failure
49,Female,FATIHA,BOIX,Massy,91377,Chef-lieu canton,91,11,6,1250,success
24,Male,MELVYN,ABDELKRIM,Marseille 14e  Arrondissement,13214,Préfecture de région,13,93,10,NA,failure
27,Female,MARINE,AMROUCHE,Montmorency,95428,Chef-lieu canton,95,11,12,NA,success
27,Female,MARINA,TEISSIER,Paris 10e  Arrondissement,75110,Capitale d'état,75,11,7,1520,failure
17,Female,AMANDINE,EL YAGOUBI,Orbigny-au-Mont,52362,Commune simple,52,44,10,NA,failure
80,Female,PAULETTE,HERMITTE,Barembach,67020,Commune simple,67,44,13,NA,failure
23,Male,MARTIN,WAGNER,Angers,49007,Préfecture,49,52,10,NA,failure
56,Male,PHILIPPE,VIOLA,Villecresnes,94075,Chef-lieu canton,94,11,12,NA,success
28,Female,MARIE,PIERRON,Paris 20e  Arrondissement,75120,Capitale d'état,75,11,3,6200,success
34,Male,ADRIEN,LETELLIER,Longwy,54323,Chef-lieu canton,54,44,6,1200,success
30,Male,THÉO,GIRARD,Gaillard,74133,Commune simple,74,84,7,2050,failure
28,Male,ALEXANDRE,TOLY,Blainville-sur-l'Eau,54076,Commune simple,54,44,11,NA,failure
52,Female,LAURENCE,ROUSSEAU,Œting,57521,Commune simple,57,44,7,1660,success
15,Female,FANNIE,CHAPELET,Charmentray,77094,Commune simple,77,11,10,NA,failure
63,Male,MICHEL,GARIN,Vienne,38544,Sous-préfecture,38,84,13,NA,failure
100,Female,JACQUELINE,DONIER,Passy,74208,Commune simple,74,84,13,NA,failure
72,Male,DANIEL,LOUGUET,Thelonne,08445,Commune simple,08,44,13,NA,failure
40,Male,EMMANUEL,BENAZZOUZ,Rennes,35238,Préfecture de région,35,53,3,6820,success
30,Male,JONATHAN,LEBON,Arques-la-Bataille,76026,Commune simple,76,28,12,NA,failure
65,Male,CHARLES,BARTIS,Nançay,18159,Commune simple,18,24,7,2280,failure
47,Male,STÉPHANE,LERDA,Dijon,21231,Préfecture de région,21,27,4,1740,success
39,Female,EMILIE,BRUNELLES,Le Mans,72181,Préfecture,72,52,11,NA,success
21,Female,LAURYNE,BARDINET,Pont-à-Marcq,59466,Chef-lieu canton,59,32,12,NA,failure
32,Female,MARIE-PAULE,PICOLO,Pessac,33318,Chef-lieu canton,33,75,2,1600,success
15,Male,MATHIS,MATTU,Pierrefitte-sur-Seine,93059,Chef-lieu canton,93,11,10,NA,failure
53,Female,NICOLE,LE GALL,Clermont-Ferrand,63113,Préfecture de région,63,84,12,NA,success
55,Female,CHRISTINE,CLERC,Orschwiller,67362,Commune simple,67,44,3,7730,success
54,Male,ALBERT,MARCON,Auch,32013,Préfecture,32,76,5,2380,success
24,Male,BRYAN,POIRIEUX,Polignac,43152,Commune simple,43,84,10,NA,failure
52,Male,JEAN-FRANÇOIS,LE BARS,Savigny-sur-Orge,91589,Chef-lieu canton,91,11,7,2520,success
66,Male,GILBERT,FELEZ,Paris 16e  Arrondissement,75116,Capitale d'état,75,11,13,NA,failure
58,Male,THIERRY,CANUTO,Uffholtz,68342,Commune simple,68,44,12,NA,success
73,Female,ANNE-LISE,BERROUET,Pierrelaye,95488,Commune simple,95,11,13,NA,failure
84,Male,PAUL,MOREL,Terminiers,28382,Commune simple,28,24,13,NA,failure
69,Female,COLETTE,GERMANY,Calais,62193,Sous-préfecture,62,32,13,NA,success
40,Male,GILLES,GAYRAUD,Garde-Colombe,05053,Commune simple,05,93,4,1460,failure
61,Female,CHANTAL,BOISSEAU,Saint-Loup,39490,Commune simple,39,27,4,2160,success
41,Female,AYSEL,PINEAU,Onnaing,59447,Commune simple,59,32,6,1530,success
32,Male,ARNAUD,JIMENEZ,Montsoreau,49219,Commune simple,49,52,4,2020,failure
53,Male,OLIVIER,LEDEE,Mont-de-Lans,38253,Commune simple,38,84,7,2500,success
62,Female,JENNY,LALLEMAND,La Regrippière,44140,Commune simple,44,52,13,NA,success
45,Male,ARNAUD,BIGO,La Léchère,73187,Commune simple,73,84,4,2480,success
31,Male,GILLES,CALBA,Janzé,35136,Chef-lieu canton,35,53,3,2900,failure
27,Female,NOELIE,COUPIGNY,Cahors,46042,Préfecture,46,76,6,1490,failure
18,Male,BRICE,DIESNIS,Le Cendre,63069,Commune simple,63,84,11,NA,failure
38,Male,KEVIN,JULIO,Congis-sur-Thérouanne,77126,Commune simple,77,11,4,1830,success
15,Male,MATTÉO,DUQUESNOY,Maisons-Alfort,94046,Chef-lieu canton,94,11,10,NA,failure
68,Female,DANIELLE,TOURNIAIRE,Pujaut,30209,Commune simple,30,76,13,NA,failure
31,Male,THOMAS,LEVEUGLE,Bégadan,33038,Commune simple,33,75,11,NA,failure
28,Female,CAMILLE,MAGOURI,Saint-Gildas-des-Bois,44161,Chef-lieu canton,44,52,10,NA,success
60,Female,SYLVIE,NOIROT,Villemandeur,45338,Commune simple,45,24,12,NA,success
36,Female,VIRGINIE,HOUSSAIS,Lumigny-Nesles-Ormeaux,77264,Commune simple,77,11,3,11e3,success
31,Male,JEREMY,DEBAY,Paris 14e  Arrondissement,75114,Capitale d'état,75,11,3,4500,failure
24,Female,MADELEINE,SEVELLEC,Chatou,78146,Chef-lieu canton,78,11,10,NA,failure
28,Male,MAXIME,RUBIN,Limoges,87085,Préfecture de région,87,75,4,2100,failure
57,Female,FRANÇOISE,HOUSSIN,Javené,35137,Commune simple,35,53,6,1380,success
19,Male,AXEL,BAGES,Issoudun,36088,Sous-préfecture,36,24,12,NA,success
59,Female,PATRICIA,MICHALEK,Haillicourt,62400,Commune simple,62,32,12,NA,success
16,Male,RONAN,GERMAIN,Guebwiller,68112,Sous-préfecture,68,44,10,NA,failure
50,Male,ERIC,PERSICHINO,Salasc,34292,Commune simple,34,76,4,1430,success
74,Female,THÉRÈSE,BOISSIERE,Chambon-la-Forêt,45069,Commune simple,45,24,13,NA,failure
39,Female,EDITH,ROSPARS,Poissy,78498,Chef-lieu canton,78,11,2,1810,success
16,Female,SALOMÉ,NIAKATE,Clermont-Ferrand,63113,Préfecture de région,63,84,10,NA,failure
49,Female,SOPHIE,VERRON,Toulouse,31555,Préfecture de région,31,76,5,1520,failure
22,Female,LUCIE,TECHER,Biard,86027,Commune simple,86,75,12,NA,failure
29,Male,KHALIL,FENOUIL,Ruffec,16292,Chef-lieu canton,16,75,11,NA,failure
28,Female,MAUD,PAUSE,Villebrumier,82194,Chef-lieu canton,82,76,7,1900,success
30,Female,ALIENOR,MANE,Saint-Berthevin,53201,Chef-lieu canton,53,52,3,3060,failure
30,Male,JULIEN,LETERRIER,La Roche-sur-Yon,85191,Préfecture,85,52,12,NA,failure
63,Female,DANIELLE,TASSIN,Agris,16003,Commune simple,16,75,13,NA,success
50,Male,MICHEL,WINTERSTEIN,Rambouillet,78517,Sous-préfecture,78,11,11,NA,success
87,Female,YVONNE,NEVEU,Badecon-le-Pin,36158,Commune simple,36,24,13,NA,failure
33,Female,SOPHIE,SAINT-CRICQ,Pau,64445,Préfecture,64,75,4,2610,success
65,Male,JEAN-MICHEL,MATHIEUX,Suzannecourt,52484,Commune simple,52,44,13,NA,failure
18,Male,VALENTIN,BONNAUD,Saint-Georges-d'Oléron,17337,Commune simple,17,75,6,1240,failure
29,Female,CORALINE,COLLET,Amiens,80021,Préfecture de région,80,32,12,NA,success
42,Female,STÉPHANIE,RICROS,Louviers,27375,Chef-lieu canton,27,28,6,1190,success
46,Male,DAVID,GOZLAN,Frières-Faillouël,02336,Commune simple,02,32,12,NA,success
68,Female,SYLVIANE,HELIARD,Tanneron,83133,Commune simple,83,93,13,NA,failure
73,Female,JOSETTE,GROSSET,Éragny,95218,Commune simple,95,11,13,NA,failure
66,Male,GÉRARD,BODENES,Draguignan,83050,Sous-préfecture,83,93,13,NA,failure
57,Female,CORINE,DECOSTER,Richebourg,78520,Commune simple,78,11,5,1310,success
65,Female,ESTELLE,JAY,Livry-Gargan,93046,Chef-lieu canton,93,11,13,NA,success
18,Male,HUGO,FOTI,Saint-Avertin,37208,Chef-lieu canton,37,24,10,NA,failure
83,Male,LOUIS,RAPAUD,Embrun,05046,Chef-lieu canton,05,93,13,NA,failure
32,Male,ROMAIN,GRASSIEN,Saint-Genix-sur-Guiers,73236,Chef-lieu canton,73,84,8,1940,failure
41,Male,YOANN,SONZOGNI,Champsecret,61091,Commune simple,61,28,4,3360,success
17,Male,MAXIME,BOUTEILLE,Grasse,06069,Sous-préfecture,06,93,10,NA,failure
19,Male,HUGO,KONATE,Allonnes,72003,Chef-lieu canton,72,52,10,NA,failure
56,Female,ELISABETH,HEVIA,Baroville,10032,Commune simple,10,44,6,1180,success
47,Female,VALÉRIE,DUCHENE,Le Pontet,84092,Commune simple,84,93,4,1620,success
29,Female,GÉRALDINE,FOVEAU,Le Soler,66195,Commune simple,66,76,4,1890,failure
39,Male,CEDRIC,THAI,Angers,49007,Préfecture,49,52,8,1420,success
29,Female,ALINE,DUEZ,Le Cendre,63069,Commune simple,63,84,6,1250,failure
66,Female,MIREILLE,NICOLAS,Rumilly,74225,Chef-lieu canton,74,84,12,NA,failure
38,Female,CHRISTELLE,KERROUCHE,Lescure,09164,Commune simple,09,76,6,1220,success
49,Female,FLORENCE,MOREL-FOURRIER,Saint-Germain-du-Plain,71420,Chef-lieu canton,71,27,6,1260,success
40,Male,DAVID,ECHEVARRIA,Nanterre,92050,Préfecture,92,11,4,1680,success
34,Male,FABIEN,RUMIGNY,Arrans,21025,Commune simple,21,27,12,NA,failure
71,Female,DANIELLE,LABORIER,Toulon,83137,Préfecture,83,93,13,NA,failure
62,Female,MARTINE,STADELMANN,La Chapelle-de-la-Tour,38076,Commune simple,38,84,13,NA,failure
51,Male,JEAN-FRANÇOIS,LOPEZ,Coudreceau,28112,Commune simple,28,24,2,10370,success
23,Female,GWENDOLINE,PASQUIER,Bordeaux,33063,Préfecture de région,33,75,4,1810,failure
30,Female,OCÉANE,MAZURIER,Payrignac,46216,Commune simple,46,76,6,1620,failure
53,Male,PHILIPPE,GAILLARD,Wattrelos,59650,Commune simple,59,32,2,1490,success
40,Female,VÉRONIQUE,HUSSENOT-DESENONGES,Thiville,28389,Commune simple,28,24,4,2230,success
40,Female,SONIA,JOST,Nanterre,92050,Préfecture,92,11,5,1410,success
38,Male,JULIEN,GERARD,Grande-Synthe,59271,Chef-lieu canton,59,32,4,4710,success
47,Female,LAURENCE,BOULACHEB,Chambon,17080,Commune simple,17,75,12,NA,success
37,Female,CÉLINE,LOMELLINI,Verquin,62848,Commune simple,62,32,11,NA,success
69,Male,JEAN,TASSERIE,Meaux,77284,Sous-préfecture,77,11,13,NA,failure
75,Male,GERVAIS,CALTON,Carmaux,81060,Chef-lieu canton,81,76,13,NA,failure
19,Male,AXEL,MASCIA,Troyes,10387,Préfecture,10,44,10,NA,failure
48,Female,SANDRA,ROUBE,Foucarmont,76278,Commune simple,76,28,4,1680,success
21,Female,FLORINE,RIGAUT,Bizanos,64132,Commune simple,64,75,6,1500,failure
47,Female,BENEDICTE,BUTTIGNOL,Villiers-le-Bel,95680,Chef-lieu canton,95,11,12,NA,success
55,Female,CARINE,COOLS,Bellegarde-sur-Valserine,01033,Chef-lieu canton,01,84,3,2780,success
25,Male,MATHIEU,BURG,Saint-Jean-de-la-Ruelle,45285,Chef-lieu canton,45,24,5,2510,failure
55,Male,PHILIPPE,ARNAUD,Garges-lès-Gonesse,95268,Chef-lieu canton,95,11,3,3480,success
47,Female,SEVERINE,BUTTIN,Ladignac-le-Long,87082,Commune simple,87,75,6,1640,success
61,Male,JOSÉ,GRESSENT,Cantaous,65482,Commune simple,65,76,4,1870,failure
22,Female,MÉLANIE,HISLER,Annecy,74010,Préfecture,74,84,6,1180,failure
26,Male,MAXIME,GIRARDIN,La Chapelle-Saint-Luc,10081,Chef-lieu canton,10,44,2,4720,failure
24,Female,AUDREY,RIBEMONT,Neuilly-sur-Seine,92051,Chef-lieu canton,92,11,10,NA,failure
15,Male,DJAYSON,JAN,Rochefort-en-Terre,56196,Chef-lieu canton,56,53,10,NA,failure
43,Female,MARINA,RAFFY,Rennes,35238,Préfecture de région,35,53,5,1270,success
74,Male,JEAN-PIERRE,RIVIERE,Saint-Quentin,02691,Sous-préfecture,02,32,13,NA,failure
58,Male,CLAUDE,SUBRA,Malans,25359,Commune simple,25,27,5,3590,failure
75,Male,JEAN,PRIN,Thorigné-Fouillard,35334,Commune simple,35,53,13,NA,failure
41,Female,NICOLE,CHARRIER,Achères,78005,Commune simple,78,11,12,NA,success
48,Female,VIRGINIE,LEMAIRE,Toulouse,31555,Préfecture de région,31,76,6,1160,success
72,Female,ANNE,DEDENON,Lillebonne,76384,Chef-lieu canton,76,28,13,NA,failure
35,Male,OLIVIER,DUCROCQ,Veyrac,87202,Commune simple,87,75,11,NA,failure
94,Male,PIERRE,MOLION,Saint-Gratien,95555,Chef-lieu canton,95,11,13,NA,failure
27,Male,JULIEN,JEAN,La Gaude,06065,Commune simple,06,93,4,2720,failure
42,Female,HÉLÈNE,GUE,Mantes-la-Ville,78362,Chef-lieu canton,78,11,8,1470,success
32,Female,MARIE,MEDINA,Los Masos,66104,Commune simple,66,76,12,NA,success
68,Female,JOSETTE,LEMOINE,Saint-Riquier,80716,Commune simple,80,32,13,NA,failure
61,Female,MICHÈLE,LEVEQUE,Pornic,44131,Chef-lieu canton,44,52,6,1220,success
54,Female,BÉATRICE,GREMONT,Dijon,21231,Préfecture de région,21,27,5,1370,success
15,Female,SILA,RIAU,Soliers,14675,Commune simple,14,28,10,NA,failure
19,Female,AMANDINE,DEFACHE,Vandœuvre-lès-Nancy,54547,Chef-lieu canton,54,44,10,NA,failure
19,Male,THÉO,SAUSSIER,Montigny-le-Bretonneux,78423,Chef-lieu canton,78,11,10,NA,failure
28,Male,LOUIS,WALERYSZAK,Bubry,56026,Commune simple,56,53,7,1400,failure
69,Male,JEAN,MARTIN,Rennes,35238,Préfecture de région,35,53,13,NA,failure
68,Female,ANNE-MARIE,EVEN,Besançon,25056,Préfecture de région,25,27,13,NA,failure
46,Female,GERALDINE,TOURBILLON,Aubervilliers,93001,Chef-lieu canton,93,11,6,1320,success
65,Male,SERGE,CARRARD,Saint-Amand-sur-Fion,51472,Commune simple,51,44,13,NA,failure
15,Male,SIMON,TREMOLIERE,Toulouse,31555,Préfecture de région,31,76,10,NA,failure
39,Female,ELODIE,REKIKA,Arcinges,42007,Commune simple,42,84,4,1660,success
43,Female,ZINAB,SALLIOT,Saint-Flovier,37218,Commune simple,37,24,12,NA,failure
37,Male,FLORIAN,DUBERTRAND,Eyguières,13035,Chef-lieu canton,13,93,3,7390,success
20,Female,CÉLINE,BARBOT,Lorient,56121,Sous-préfecture,56,53,10,NA,failure
45,Male,FABRICE,COUTURE,Montmerle-sur-Saône,01263,Commune simple,01,84,4,2050,success
35,Female,JENNIFER,BONI,Saint-Laurent-du-Plan,33428,Commune simple,33,75,5,1950,success
66,Female,MARTINE,DUMONT,Lourouer-Saint-Laurent,36100,Commune simple,36,24,13,NA,failure
26,Female,LOUISE,CHEN,Vienne,38544,Sous-préfecture,38,84,12,NA,failure
36,Male,SÉBASTIEN,JEANNOT,Bordeaux,33063,Préfecture de région,33,75,2,2860,success
72,Male,CLAUDE,MERCIER,Limoges,87085,Préfecture de région,87,75,13,NA,failure
18,Female,LAURINE,PERRAULT,Le Perreux-sur-Marne,94058,Chef-lieu canton,94,11,10,NA,failure
72,Female,MARIE-LOUISE,TYSON,Tourcoing,59599,Chef-lieu canton,59,32,13,NA,failure
17,Male,CHARLES,DENEU,Bonny-sur-Loire,45040,Commune simple,45,24,10,NA,failure
43,Male,STÉPHANE,COLLET,Bertren,65087,Commune simple,65,76,2,1510,success
53,Male,STÉPHANE,SAUVAGE,Damiatte,81078,Commune simple,81,76,12,NA,success
84,Female,ANDRÉE,LIMONGI,Bonneuil-sur-Marne,94011,Chef-lieu canton,94,11,13,NA,failure
89,Female,LUCETTE,FOUQUIER,Épernay,51230,Sous-préfecture,51,44,13,NA,failure
36,Male,NICOLAS,MARCHAL,Brive-la-Gaillarde,19031,Sous-préfecture,19,75,12,NA,success
25,Male,CLÉMENT,HOUGNON,Lyon 3e  Arrondissement,69383,Préfecture de région,69,84,4,6810,failure
47,Female,SANDRINE,DAVY,Rochesson,88391,Commune simple,88,44,3,3210,success
30,Male,ARNAUD,FABRE,Mauguio,34154,Chef-lieu canton,34,76,3,2900,failure
42,Male,OLIVIER,DOMPNIER,Amiens,80021,Préfecture de région,80,32,3,2590,success
72,Male,JEAN-PIERRE,ORSINI,Clamecy,58079,Sous-préfecture,58,27,13,NA,failure
55,Male,MARC,BELGRAIN,Lyon 7e  Arrondissement,69387,Préfecture de région,69,84,3,3930,success
70,Female,MICHÈLE,BOTTARO,La Gravelle,53108,Commune simple,53,52,13,NA,failure
39,Male,FLORIAN,DECLOITRE,Saint-Herblain,44162,Chef-lieu canton,44,52,4,8550,success
43,Male,ALBAN,LEBON,Salins,77439,Commune simple,77,11,6,1310,success
40,Female,RACHIDA,LEBRETON,Melun,77288,Préfecture,77,11,11,NA,success
66,Male,LUC,PETONNET,Lunel-Viel,34146,Commune simple,34,76,13,NA,failure
31,Male,FLORIAN,ADO,Willems,59660,Commune simple,59,32,4,1960,failure
52,Male,STÉPHANE,BORIE,Sartrouville,78586,Chef-lieu canton,78,11,4,1150,success
80,Female,YVETTE,LE GLAS,Bonsecours,76103,Commune simple,76,28,13,NA,failure
45,Female,JOHANNA,BLOUIN,Toulouse,31555,Préfecture de région,31,76,6,1460,success
20,Male,JEREMIE,LEGER,Sepmeries,59565,Commune simple,59,32,10,NA,failure
19,Female,SARAH,JULIEN,Bernis,30036,Commune simple,30,76,10,NA,failure
